"947/1023","315/341","941/1023","938/1023","85/93","947/1023","928/1023","28/31","904/1023","298/341","80/93","291/341","287/341","285/341","842/1023","26/31","285/341","79/93","878/1023","887/1023","301/341","307/341","929/1023","947/1023","965/1023","318/341","952/1023","950/1023","312/341","932/1023","943/1023"
"943/1023","929/1023","937/1023","925/1023","309/341","922/1023","82/93","27/31","877/1023","854/1023","835/1023","838/1023","271/341","799/1023","266/341","268/341","811/1023","74/93","823/1023","282/341","857/1023","884/1023","301/341","911/1023","85/93","316/341","312/341","313/341","944/1023","311/341","86/93"
"29/31","316/341","950/1023","28/31","82/93","872/1023","863/1023","844/1023","25/31","800/1023","25/33","256/341","8/11","736/1023","743/1023","244/341","740/1023","761/1023","764/1023","261/341","793/1023","277/341","287/341","884/1023","898/1023","907/1023","926/1023","956/1023","949/1023","312/341","86/93"
"314/341","941/1023","919/1023","301/341","289/341","842/1023","818/1023","787/1023","68/93","241/341","21/31","670/1023","653/1023","216/341","652/1023","650/1023","59/93","222/341","230/341","721/1023","746/1023","772/1023","802/1023","9/11","865/1023","27/31","307/341","947/1023","320/341","322/341","31/33"
"938/1023","919/1023","304/341","887/1023","839/1023","268/341","772/1023","722/1023","229/341","7/11","56/93","575/1023","185/341","547/1023","542/1023","183/341","557/1023","577/1023","602/1023","58/93","61/93","64/93","757/1023","800/1023","838/1023","294/341","83/93","940/1023","321/341","325/341","322/341"
"949/1023","919/1023","890/1023","282/341","799/1023","752/1023","712/1023","221/341","203/341","568/1023","526/1023","488/1023","461/1023","41/93","149/341","150/341","466/1023","163/341","169/341","547/1023","199/341","646/1023","683/1023","243/341","809/1023","854/1023","27/31","929/1023","320/341","324/341","31/33"
"931/1023","884/1023","850/1023","74/93","761/1023","706/1023","646/1023","53/93","173/341","478/1023","433/1023","401/1023","377/1023","362/1023","353/1023","359/1023","125/341","130/341","38/93","152/341","508/1023","566/1023","211/341","695/1023","749/1023","817/1023","288/341","300/341","28/31","317/341","967/1023"
"82/93","291/341","824/1023","764/1023","236/341","213/341","571/1023","512/1023","457/1023","404/1023","353/1023","106/341","295/1023","3/11","91/341","277/1023","97/341","102/341","111/341","371/1023","430/1023","500/1023","188/341","631/1023","64/93","259/341","281/341","890/1023","914/1023","932/1023","949/1023"
"889/1023","860/1023","808/1023","730/1023","653/1023","194/341","169/341","442/1023","388/1023","334/1023","26/93","251/1023","229/1023","214/1023","70/341","211/1023","218/1023","236/1023","90/341","314/1023","364/1023","421/1023","163/341","574/1023","662/1023","244/341","796/1023","865/1023","300/341","305/341","28/31"
"871/1023","830/1023","259/341","695/1023","613/1023","180/341","457/1023","380/1023","108/341","94/341","238/1023","68/341","184/1023","56/341","160/1023","54/341","56/341","185/1023","214/1023","256/1023","103/341","370/1023","442/1023","521/1023","608/1023","695/1023","257/341","9/11","294/341","29/33","300/341"
